==========================================================
   YouTube 专用优选排名（综合速度+延迟+稳定性，第一行最优）
==========================================================

说明：评分综合考虑了下载速度（超过25Mbps不再加分，4K够用）、
连接延迟、以及网络抖动（稳定性），而不是单纯速度越快越靠前。

NO.55 | 评分: 44.6 | 中位速度: 53 KB/s | 最低速度: 49 KB/s | 延迟: 59ms | 抖动: 1ms | IP地址: 151.243.229.150:443 | 地区: 未知地区
NO.56 | 评分: 44.6 | 中位速度: 78 KB/s | 最低速度: 69 KB/s | 延迟: 52ms | 抖动: 7ms | IP地址: 185.92.47.93:443 | 地区: 未知地区
NO.57 | 评分: 43.4 | 中位速度: 340 KB/s | 最低速度: 266 KB/s | 延迟: 91ms | 抖动: 9ms | IP地址: 82.108.198.121:443 | 地区: 未知地区
NO.58 | 评分: 42.9 | 中位速度: 888 KB/s | 最低速度: 421 KB/s | 延迟: 91ms | 抖动: 24ms | IP地址: 147.79.20.197:443 | 地区: 未知地区
NO.59 | 评分: 42.8 | 中位速度: 9 KB/s | 最低速度: 9 KB/s | 延迟: 72ms | 抖动: 1ms | IP地址: 83.147.15.253:443 | 地区: 未知地区
NO.60 | 评分: 42.0 | 中位速度: 138 KB/s | 最低速度: 113 KB/s | 延迟: 95ms | 抖动: 2ms | IP地址: 43.160.241.223:443 | 地区: 未知地区
NO.61 | 评分: 41.8 | 中位速度: 71 KB/s | 最低速度: 68 KB/s | 延迟: 84ms | 抖动: 4ms | IP地址: 167.148.203.173:443 | 地区: 未知地区
NO.62 | 评分: 41.3 | 中位速度: 1.75 MB/s | 最低速度: 830 KB/s | 延迟: 45ms | 抖动: 89ms | IP地址: 131.143.215.160:443 | 地区: 未知地区
NO.63 | 评分: 41.1 | 中位速度: 175 KB/s | 最低速度: 119 KB/s | 延迟: 72ms | 抖动: 18ms | IP地址: 216.23.93.131:443 | 地区: 未知地区
NO.64 | 评分: 40.9 | 中位速度: 55 KB/s | 最低速度: 46 KB/s | 延迟: 69ms | 抖动: 15ms | IP地址: 167.148.203.71:443 | 地区: 未知地区
NO.65 | 评分: 40.8 | 中位速度: 12 KB/s | 最低速度: 12 KB/s | 延迟: 58ms | 抖动: 18ms | IP地址: 103.158.117.226:443 | 地区: 未知地区
NO.66 | 评分: 40.6 | 中位速度: 94 KB/s | 最低速度: 89 KB/s | 延迟: 68ms | 抖动: 20ms | IP地址: 2.27.132.136:443 | 地区: 未知地区
NO.67 | 评分: 40.4 | 中位速度: 15 KB/s | 最低速度: 11 KB/s | 延迟: 69ms | 抖动: 15ms | IP地址: 178.83.206.103:443 | 地区: 未知地区
NO.68 | 评分: 40.3 | 中位速度: 38 KB/s | 最低速度: 38 KB/s | 延迟: 86ms | 抖动: 8ms | IP地址: 31.57.172.215:443 | 地区: 未知地区
NO.69 | 评分: 40.2 | 中位速度: 122 KB/s | 最低速度: 41 KB/s | 延迟: 70ms | 抖动: 17ms | IP地址: 45.149.186.154:443 | 地区: 未知地区
NO.70 | 评分: 38.1 | 中位速度: 365 KB/s | 最低速度: 137 KB/s | 延迟: 97ms | 抖动: 22ms | IP地址: 138.2.66.236:443 | 地区: 未知地区
NO.71 | 评分: 36.6 | 中位速度: 320 KB/s | 最低速度: 257 KB/s | 延迟: 173ms | 抖动: 2ms | IP地址: 154.17.233.72:8443 | 地区: 未知地区
NO.72 | 评分: 32.8 | 中位速度: 371 KB/s | 最低速度: 310 KB/s | 延迟: 216ms | 抖动: 3ms | IP地址: 154.40.60.193:443 | 地区: 未知地区
NO.73 | 评分: 32.7 | 中位速度: 1.09 MB/s | 最低速度: 287 KB/s | 延迟: 218ms | 抖动: 1ms | IP地址: 85.237.207.126:443 | 地区: 未知地区
NO.74 | 评分: 32.7 | 中位速度: 122 KB/s | 最低速度: 90 KB/s | 延迟: 164ms | 抖动: 12ms | IP地址: 154.21.93.187:8443 | 地区: 未知地区
NO.75 | 评分: 32.6 | 中位速度: 400 KB/s | 最低速度: 242 KB/s | 延迟: 192ms | 抖动: 11ms | IP地址: 216.36.110.48:443 | 地区: 未知地区
NO.76 | 评分: 32.5 | 中位速度: 11 KB/s | 最低速度: 11 KB/s | 延迟: 170ms | 抖动: 3ms | IP地址: 208.68.180.204:443 | 地区: 未知地区
NO.77 | 评分: 32.3 | 中位速度: 79 KB/s | 最低速度: 35 KB/s | 延迟: 163ms | 抖动: 10ms | IP地址: 38.49.36.234:443 | 地区: 未知地区
NO.78 | 评分: 32.1 | 中位速度: 5.65 MB/s | 最低速度: 231 KB/s | 延迟: 192ms | 抖动: 12ms | IP地址: 192.204.58.167:8443 | 地区: 未知地区
NO.79 | 评分: 31.8 | 中位速度: 42 KB/s | 最低速度: 33 KB/s | 延迟: 86ms | 抖动: 51ms | IP地址: 143.14.189.170:443 | 地区: 未知地区
NO.80 | 评分: 29.3 | 中位速度: 336 KB/s | 最低速度: 138 KB/s | 延迟: 180ms | 抖动: 25ms | IP地址: 154.21.80.55:8443 | 地区: 未知地区
NO.81 | 评分: 29.2 | 中位速度: 3.63 MB/s | 最低速度: 84 KB/s | 延迟: 196ms | 抖动: 13ms | IP地址: 91.217.139.70:443 | 地区: 未知地区
NO.82 | 评分: 27.0 | 中位速度: 43 KB/s | 最低速度: 35 KB/s | 延迟: 197ms | 抖动: 19ms | IP地址: 45.59.128.165:443 | 地区: 未知地区
